leftfemurX,leftfemurY,rightfemurX,rightfemurY,waistX,waistY,upperspineX,upperspineY,rightshoulderX,rightshoulderY,rightelbowX,rightelbowY,rightwristX,rightwristY,leftshoulderX,leftshoulderY,leftelbowX,leftelbowY,leftwristX,leftwristY,neckX,neckY,headbaseX,headbaseY,sphnosetipX,sphnosetipY,sphheadtopX,sphheadtopY
346.0438164,385.7708656,249.7139463,385.488312,297.8460495,321.9251529,297.2391389,252.9549191,224.6082323,185.0843872,199.0254178,258.5473642,214.1926932,145.4056448,366.269196,188.9561422,385.0614433,300.7216558,337.3953731,342.3381753,295.8475766,168.6470511,295.0645693,146.327861,292.1971266,112.4501125,287.7948988,26.18262533
346.0438164,385.7708656,249.7139463,385.488312,297.8460495,321.9251529,297.2382719,252.9590226,224.6097006,185.0808283,199.0026463,258.9719903,214.0775055,145.9481478,366.2687474,188.9976275,385.0234419,300.7633816,337.3177694,342.3808883,295.846695,168.6504746,295.0645051,146.3658562,292.2357948,112.4502503,287.8697928,26.18741198
346.0438164,385.7708656,249.7139463,385.488312,297.8460495,321.9251529,297.2382719,252.9590226,224.6477188,185.0809771,199.0593697,259.5855146,214.0389953,146.6503114,366.3063268,189.0392627,384.9477513,300.8049397,337.2402793,342.3854392,295.884726,168.6506204,295.101681,146.3692409,292.2726103,112.4564088,287.9840499,26.19004735
346.0438164,385.7708656,249.7139463,385.488312,297.8451897,321.9298104,297.2761699,252.9591832,224.6857369,185.0811258,199.1177439,260.1560772,214.0411257,147.3102376,366.3442076,189.0773082,384.8722066,300.8420285,337.1632209,342.423243,295.9227569,168.6507662,295.1778746,146.3315291,292.3885548,112.4954615,288.175119,26.19292474
346.0438164,385.7708656,249.7139463,385.488312,297.8073897,321.9296377,297.2382719,252.9590226,224.6477188,185.0809771,199.0933085,260.6232621,213.9243513,147.8559925,366.2678502,189.0805996,384.7966622,300.8791172,337.0857291,342.4277942,295.884726,168.6506204,295.1398099,146.3313873,292.349886,112.4953237,288.098309,26.19268276
346.0438164,385.7708656,249.7139463,385.488312,297.8073897,321.9296377,297.2382719,252.9590226,224.6872046,185.077567,199.1408664,260.7949567,213.8886689,148.0832345,366.3060324,189.1150547,384.7211179,300.9162058,337.0087848,342.4274352,295.9227569,168.6507662,295.1778746,146.3315291,292.4272237,112.4955993,288.251929,26.19316673
346.0438164,385.7708656,249.7139463,385.488312,297.8451897,321.9298104,297.2753032,252.9632867,224.7252224,185.0777158,199.137347,260.7263471,213.8479045,147.969396,366.3433114,189.160282,384.6829467,300.9953585,336.9311769,342.4701498,295.9599072,168.6543355,295.2150518,146.3349136,292.503637,112.4988857,288.4036448,26.19819571
346.0436938,385.8082452,249.7139463,385.488312,297.8451897,321.9298104,297.3132015,252.9634473,224.8027069,185.0365384,199.1670154,260.3235477,213.8866286,147.5403991,366.4195213,189.1948861,384.6447751,301.0745122,336.8925903,342.5081335,296.0748809,168.6513493,295.3681985,146.3322383,292.6979058,112.496564,288.6340793,26.19892169
346.0438164,385.7708656,249.7139463,385.488312,297.8451897,321.9298104,297.3132015,252.9634473,224.8012581,185.0780133,199.1527916,259.933311,213.8064763,147.0362597,366.4190738,189.2363737,384.5695468,301.0697039,336.8156457,342.5077745,296.0359698,168.6546271,295.3673121,146.3354809,292.6969207,112.5382143,288.6715352,26.20131526
346.0436938,385.8082452,249.7139463,385.488312,297.8451897,321.9298104,297.3132015,252.9634473,224.839276,185.0781621,199.136708,259.4315281,213.7669305,146.4508781,366.4569548,189.2744194,384.4940028,301.1067922,336.7770593,342.5457581,296.0731215,168.6581965,295.4044913,146.3388655,292.7346674,112.5413633,288.7858046,26.20395087
